,_fivetran_id,day,engagement,unique_impressions_count,share_count,share_mentions_count,click_count,like_count,impression_count,comment_count,comment_mentions_count,organization_entity,_fivetran_synced
13,80zoxUAnqDrdYQQvPUVELpGH0ww=,2022-05-31 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.103000+00:00
14,LnBNe9uvBpGr/Nj/UHJCpFBHyrg=,2022-03-11 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:11.587000+00:00
15,XRqSIlHhUPpQ6gOSyY8crbGLVHA=,2022-04-11 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.613000+00:00
16,sg1NFxADq0V1SkTWY6eTwSbU9z8=,2021-11-15 00:00:00+00:00,0.20408163265306123,16,1,,9,0,49,0,,urn:li:organization:11841037,2022-08-08 10:42:23.507000+00:00
17,2lKO7rYMNRD2WVGWZrTEgvI43mU=,2021-10-16 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:35.595000+00:00
18,zjIEDobENV2GJ2+kaL8MbiFTK5E=,2022-07-05 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:18.238000+00:00
19,6UoIoANPcFoA4PueIB6sU14Plis=,2022-03-27 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:36.679000+00:00
20,iz4p8YPZN19+AzMW5CaLg568NC0=,2022-01-26 00:00:00+00:00,0.0,29,0,,0,0,47,0,,urn:li:organization:11841037,2022-08-08 10:42:24.039000+00:00
21,Jo4qSfEMJlBVm2trNgTeJBQnSsw=,2021-08-19 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.047000+00:00
22,r0caVRpqY9Gfx4Bm3OX2Zn74k40=,2021-12-14 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.940000+00:00
23,tNVyEU2G53q6LSvgGTvt6QL67wM=,2021-12-07 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:30.393000+00:00
24,pEI9LKAOTitTlEXFqHJTrDPYDQ8=,2022-04-19 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.618000+00:00
25,6AcGpCdyTaL0v/cPtkWszzRquD8=,2022-03-21 00:00:00+00:00,0.021739130434782608,18,0,,1,0,46,0,,urn:li:organization:11841037,2022-08-08 10:42:24.555000+00:00
26,6XAgw5fpudNmQHMZzUx+2eqqDec=,2022-04-03 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:42.817000+00:00
