,_fivetran_id,id,date,email_contacts,follower_count,get_directions_clicks,phone_call_clicks,profile_views,text_message_clicks,website_clicks,impressions,impressions_7_d,impressions_28_d,reach,reach_7_d,reach_28_d,_fivetran_synced
139,BrE++QstOU5pCa2FKsx6IKi7Zos=,17841413694138154,2022-05-24,0,,0,0,2,0,0,3,63,239,3,32,84,2022-08-08 10:43:22.537000+00:00
140,V40k/FK/M3h625zOlYLPazS5yUo=,17841413694138154,2022-06-24,0,,0,0,0,0,0,0,1,12,0,1,6,2022-08-08 10:43:20.403000+00:00
141,q1I10U0urMDhNbAh8QWUSpYCN/s=,17841413694138154,2022-05-28,0,,0,0,2,0,0,6,10,207,1,5,78,2022-08-08 10:43:22.539000+00:00
142,NKrfdOtF09+hLa7Vfk0CQ+Zlrlg=,17841413694138154,2022-03-25,0,,0,0,0,0,0,1,2,35,1,2,23,2022-08-08 10:43:26.270000+00:00
143,SkqadTC/iG0ulAS9eXBEMY4sHQg=,17841413694138154,2022-03-18,0,,0,0,0,0,0,1,4,47,1,3,26,2022-08-08 10:43:26.269000+00:00
144,FYWgyeQySbTW2mW1fHHkUiOnQcE=,17841413694138154,2022-06-22,0,,0,0,1,0,0,0,3,12,0,2,6,2022-08-08 10:43:20.402000+00:00
145,ZMRIMdNrxyfZSY1+7zLvuR5vrUw=,17841413694138154,2022-07-07,0,,0,0,1,0,0,2,8,114,1,3,8,2022-08-08 10:43:20.408000+00:00
146,9BArWdxxgNxqX69RjsMjImYFpIo=,17841413694138154,2022-03-31,0,,0,0,0,0,0,1,49,67,1,49,59,2022-08-08 10:43:26.272000+00:00
147,6LPYUyTeT4s9INTmzjaEWHoJ0Ig=,17841413694138154,2022-05-05,0,,0,0,3,0,0,0,53,165,0,25,72,2022-08-08 10:43:24.427000+00:00
148,dwE8jsTB8JaSp9Nu8u0RsqgjjEU=,17841413694138154,2022-03-19,0,,0,0,0,0,0,1,5,48,1,4,27,2022-08-08 10:43:26.269000+00:00
149,vI0eTNVyRwHxKsncON8iYoakj+s=,17841413694138154,2022-05-20,0,,0,0,1,0,0,2,101,264,1,46,87,2022-08-08 10:43:22.535000+00:00
150,n0ZGwJ/jvfcl+pZFBKqLLjY9D6g=,17841413694138154,2022-04-21,0,,0,0,1,0,0,1,3,195,1,3,114,2022-08-08 10:43:24.422000+00:00
